texte,titre,auteur
"Thus, we walked through Wemmick’s greenhouse, until he turned to me andsaid, “Notice the man I shall shake hands with.” I should have done so,without the preparation, as he had shaken hands with no one yet. Almost as soon as he had spoken, a portly upright man (whom I can seenow, as I write) in a well-worn olive-coloured frock-coat, with apeculiar pallor overspreading the red in his complexion, and eyes thatwent wandering about when he tried to fix them, came up to a corner ofthe bars, and put his hand to his hat—which had a greasy and fattysurface like cold broth—with a half-serious and half-jocose militarysalute. “Colonel, to you!” said Wemmick; “how are you, Colonel?” “All right, Mr. Wemmick.” “Everything was done that could be done, but the evidence was toostrong for us, Colonel.” “Yes, it was too strong, sir,—but _I_ don’t care.” “No, no,” said Wemmick, coolly, “_you_ don’t care.” Then, turning tome, “Served His Majesty this man. Was a soldier in the line and boughthis discharge.” ",Great Expectations,Charles Dickens
"It was no laughing matter with Estella now, nor was she summoning theseremembrances from any shallow place. I would not have been the cause ofthat look of hers for all my expectations in a heap. “Two things I can tell you,” said Estella. “First, notwithstanding theproverb that constant dropping will wear away a stone, you may set yourmind at rest that these people never will—never would in a hundredyears—impair your ground with Miss Havisham, in any particular, greator small. Second, I am beholden to you as the cause of their being sobusy and so mean in vain, and there is my hand upon it.” As she gave it to me playfully,—for her darker mood had been butmomentary—I held it and put it to my lips. “You ridiculous boy,” saidEstella, “will you never take warning? Or do you kiss my hand in thesame spirit in which I once let you kiss my cheek?” “What spirit was that?” said I. “I must think a moment. A spirit of contempt for the fawners andplotters.” “If I say yes, may I kiss the cheek again?” ",Great Expectations,Charles Dickens
"I saw her often at Richmond, I heard of her often in town, and I usedoften to take her and the Brandleys on the water; there were picnics,fête days, plays, operas, concerts, parties, all sorts of pleasures,through which I pursued her,—and they were all miseries to me. I neverhad one hour’s happiness in her society, and yet my mind all round thefour-and-twenty hours was harping on the happiness of having her withme unto death. Throughout this part of our intercourse,—and it lasted, as willpresently be seen, for what I then thought a long time,—she habituallyreverted to that tone which expressed that our association was forcedupon us. There were other times when she would come to a sudden checkin this tone and in all her many tones, and would seem to pity me. “Pip, Pip,” she said one evening, coming to such a check, when we satapart at a darkening window of the house in Richmond; “will you nevertake warning?” “Of what?” “Of me.” “Warning not to be attracted by you, do you mean, Estella?” ",Great Expectations,Charles Dickens
"“Your sister is given to government.” “Given to government, Joe?” I was startled, for I had some shadowy idea(and I am afraid I must add, hope) that Joe had divorced her in afavour of the Lords of the Admiralty, or Treasury. “Given to government,” said Joe. “Which I meantersay the government ofyou and myself.” “Oh!” “And she an’t over partial to having scholars on the premises,” Joecontinued, “and in partickler would not be over partial to my being ascholar, for fear as I might rise. Like a sort of rebel, don’t yousee?” I was going to retort with an inquiry, and had got as far as “Why—”when Joe stopped me. “Stay a bit. I know what you’re a-going to say, Pip; stay a bit! Idon’t deny that your sister comes the Mo-gul over us, now and again. Idon’t deny that she do throw us back-falls, and that she do drop downupon us heavy. At such times as when your sister is on the Ram-page,Pip,” Joe sank his voice to a whisper and glanced at the door, “candourcompels fur to admit that she is a Buster.” ",Great Expectations,Charles Dickens
"I considered, and said, “Never.” “And never will, Pip,” he retorted, with a frowning smile. “She hasnever allowed herself to be seen doing either, since she lived thispresent life of hers. She wanders about in the night, and then layshands on such food as she takes.” “Pray, sir,” said I, “may I ask you a question?” “You may,” said he, “and I may decline to answer it. Put yourquestion.” “Estella’s name. Is it Havisham or—?” I had nothing to add. “Or what?” said he. “Is it Havisham?” “It is Havisham.” This brought us to the dinner-table, where she and Sarah Pocket awaitedus. Mr. Jaggers presided, Estella sat opposite to him, I faced my greenand yellow friend. We dined very well, and were waited on by amaid-servant whom I had never seen in all my comings and goings, butwho, for anything I know, had been in that mysterious house the wholetime. After dinner a bottle of choice old port was placed before myguardian (he was evidently well acquainted with the vintage), and thetwo ladies left us. ",Great Expectations,Charles Dickens
"“By my boy, I was giv to understand as Compeyson was out on themmarshes too. Upon my soul, I half believe he escaped in his terror, toget quit of me, not knowing it was me as had got ashore. I hunted himdown. I smashed his face. ‘And now,’ says I ‘as the worst thing I cando, caring nothing for myself, I’ll drag you back.’ And I’d have swumoff, towing him by the hair, if it had come to that, and I’d a got himaboard without the soldiers. “Of course he’d much the best of it to the last,—his character was sogood. He had escaped when he was made half wild by me and my murderousintentions; and his punishment was light. I was put in irons, broughtto trial again, and sent for life. I didn’t stop for life, dear boy andPip’s comrade, being here.” He wiped himself again, as he had done before, and then slowly took histangle of tobacco from his pocket, and plucked his pipe from hisbutton-hole, and slowly filled it, and began to smoke. “Is he dead?” I asked, after a silence. “Is who dead, dear boy?” ",Great Expectations,Charles Dickens
"   Chapter XLVIII.  The second of the two meetings referred to in the last chapter occurredabout a week after the first. I had again left my boat at the wharfbelow Bridge; the time was an hour earlier in the afternoon; and,undecided where to dine, I had strolled up into Cheapside, and wasstrolling along it, surely the most unsettled person in all the busyconcourse, when a large hand was laid upon my shoulder by some oneovertaking me. It was Mr. Jaggers’s hand, and he passed it through myarm. “As we are going in the same direction, Pip, we may walk together.Where are you bound for?” “For the Temple, I think,” said I. “Don’t you know?” said Mr. Jaggers. “Well,” I returned, glad for once to get the better of him incross-examination, “I do _not_ know, for I have not made up my mind.” “You are going to dine?” said Mr. Jaggers. “You don’t mind admittingthat, I suppose?” “No,” I returned, “I don’t mind admitting that.” “And are not engaged?” “I don’t mind admitting also that I am not engaged.” ",Great Expectations,Charles Dickens
"They were both melted by these words, and both entreated me to say nomore. “But I must say more. Dear Joe, I hope you will have children to love,and that some little fellow will sit in this chimney-corner of a winternight, who may remind you of another little fellow gone out of it forever. Don’t tell him, Joe, that I was thankless; don’t tell him, Biddy,that I was ungenerous and unjust; only tell him that I honoured youboth, because you were both so good and true, and that, as your child,I said it would be natural to him to grow up a much better man than Idid.” “I ain’t a-going,” said Joe, from behind his sleeve, “to tell himnothink o’ that natur, Pip. Nor Biddy ain’t. Nor yet no one ain’t.” “And now, though I know you have already done it in your own kindhearts, pray tell me, both, that you forgive me! Pray let me hear yousay the words, that I may carry the sound of them away with me, andthen I shall be able to believe that you can trust me, and think betterof me, in the time to come!” ",Great Expectations,Charles Dickens
"One night I was sitting in the chimney corner with my slate, expendinggreat efforts on the production of a letter to Joe. I think it musthave been a full year after our hunt upon the marshes, for it was along time after, and it was winter and a hard frost. With an alphabeton the hearth at my feet for reference, I contrived in an hour or twoto print and smear this epistle:— “MI DEER JO i OPE U R KRWITE WELL i OPE i SHAL SON B HABELL 4 2 TEEDGEU JO AN THEN WE SHORL B SO GLODD AN WEN i M PRENGTD 2 U JO WOT LARX ANBLEVE ME INF XN PIP.”  There was no indispensable necessity for my communicating with Joe byletter, inasmuch as he sat beside me and we were alone. But I deliveredthis written communication (slate and all) with my own hand, and Joereceived it as a miracle of erudition. “I say, Pip, old chap!” cried Joe, opening his blue eyes wide, “what ascholar you are! An’t you?” “I should like to be,” said I, glancing at the slate as he held it;with a misgiving that the writing was rather hilly. ",Great Expectations,Charles Dickens
"“Now, I have asked _you_ a question, my friend,” said Mr. Jaggers.“Have you anything to ask _me_?” “Of course it would be a great relief to me to ask you severalquestions, sir; but I remember your prohibition.” “Ask one,” said Mr. Jaggers. “Is my benefactor to be made known to me to-day?” “No. Ask another.” “Is that confidence to be imparted to me soon?” “Waive that, a moment,” said Mr. Jaggers, “and ask another.” I looked about me, but there appeared to be now no possible escape fromthe inquiry, “Have-I—anything to receive, sir?” On that, Mr. Jaggerssaid, triumphantly, “I thought we should come to it!” and called toWemmick to give him that piece of paper. Wemmick appeared, handed itin, and disappeared. “Now, Mr. Pip,” said Mr. Jaggers, “attend, if you please. You have beendrawing pretty freely here; your name occurs pretty often in Wemmick’scash-book; but you are in debt, of course?” “I am afraid I must say yes, sir.” “You know you must say yes; don’t you?” said Mr. Jaggers. “Yes, sir.” ",Great Expectations,Charles Dickens
"“Assuredly,” replied Herbert. “As to anything I say, you know,” he insisted. “The oath applies toall.” “I understand it to do so.” “And look’ee here! Wotever I done is worked out and paid for,” heinsisted again. “So be it.” He took out his black pipe and was going to fill it with negro-head,when, looking at the tangle of tobacco in his hand, he seemed to thinkit might perplex the thread of his narrative. He put it back again,stuck his pipe in a button-hole of his coat, spread a hand on eachknee, and after turning an angry eye on the fire for a few silentmoments, looked round at us and said what follows.    Chapter XLII.  “Dear boy and Pip’s comrade. I am not a-going fur to tell you my lifelike a song, or a story-book. But to give it you short and handy, I’llput it at once into a mouthful of English. In jail and out of jail, injail and out of jail, in jail and out of jail. There, you’ve got it.That’s _my_ life pretty much, down to such times as I got shipped off,arter Pip stood my friend. ",Great Expectations,Charles Dickens
"“At Epsom races, a matter of over twenty years ago, I got acquaintedwi’ a man whose skull I’d crack wi’ this poker, like the claw of alobster, if I’d got it on this hob. His right name was Compeyson; andthat’s the man, dear boy, what you see me a pounding in the ditch,according to what you truly told your comrade arter I was gone lastnight. “He set up fur a gentleman, this Compeyson, and he’d been to a publicboarding-school and had learning. He was a smooth one to talk, and wasa dab at the ways of gentlefolks. He was good-looking too. It was thenight afore the great race, when I found him on the heath, in a booththat I know’d on. Him and some more was a sitting among the tables whenI went in, and the landlord (which had a knowledge of me, and was asporting one) called him out, and said, ‘I think this is a man thatmight suit you,’—meaning I was. “Compeyson, he looks at me very noticing, and I look at him. He has awatch and a chain and a ring and a breast-pin and a handsome suit ofclothes. ",Great Expectations,Charles Dickens
"We had now got into the month of March. My left arm, though itpresented no bad symptoms, took, in the natural course, so long to healthat I was still unable to get a coat on. My right arm was tolerablyrestored; disfigured, but fairly serviceable. On a Monday morning, when Herbert and I were at breakfast, I receivedthe following letter from Wemmick by the post. “Walworth. Burn this as soon as read. Early in the week, or sayWednesday, you might do what you know of, if you felt disposed to tryit. Now burn.” When I had shown this to Herbert and had put it in the fire—but notbefore we had both got it by heart—we considered what to do. For, ofcourse my being disabled could now be no longer kept out of view. “I have thought it over again and again,” said Herbert, “and I think Iknow a better course than taking a Thames waterman. Take Startop. Agood fellow, a skilled hand, fond of us, and enthusiastic andhonourable.” I had thought of him more than once. “But how much would you tell him, Herbert?” ",Great Expectations,Charles Dickens
"“The late Compeyson,” said Wemmick, “had by little and little got atthe bottom of half of the regular business now transacted; and it wasfrom the talk of some of his people in trouble (some of his peoplebeing always in trouble) that I heard what I did. I kept my ears open,seeming to have them shut, until I heard that he was absent, and Ithought that would be the best time for making the attempt. I can onlysuppose now, that it was a part of his policy, as a very clever man,habitually to deceive his own instruments. You don’t blame me, I hope,Mr. Pip? I am sure I tried to serve you, with all my heart.” “I am as sure of that, Wemmick, as you can be, and I thank you mostearnestly for all your interest and friendship.” “Thank you, thank you very much. It’s a bad job,” said Wemmick,scratching his head, “and I assure you I haven’t been so cut up for along time. What I look at is the sacrifice of so much portableproperty. Dear me!” “What _I_ think of, Wemmick, is the poor owner of the property.” ",Great Expectations,Charles Dickens
"“Dear Biddy,” said I, “you have the best husband in the whole world,and if you could have seen him by my bed you would have—But no, youcouldn’t love him better than you do.” “No, I couldn’t indeed,” said Biddy. “And, dear Joe, you have the best wife in the whole world, and she willmake you as happy as even you deserve to be, you dear, good, nobleJoe!” Joe looked at me with a quivering lip, and fairly put his sleeve beforehis eyes. “And Joe and Biddy both, as you have been to church to-day, and are incharity and love with all mankind, receive my humble thanks for all youhave done for me, and all I have so ill repaid! And when I say that Iam going away within the hour, for I am soon going abroad, and that Ishall never rest until I have worked for the money with which you havekept me out of prison, and have sent it to you, don’t think, dear Joeand Biddy, that if I could repay it a thousand times over, I suppose Icould cancel a farthing of the debt I owe you, or that I would do so ifI could!” ",Great Expectations,Charles Dickens
"It was a very dark night when it was all over, and when I set out withMr. Wopsle on the walk home. Beyond town, we found a heavy mist out,and it fell wet and thick. The turnpike lamp was a blur, quite out ofthe lamp’s usual place apparently, and its rays looked solid substanceon the fog. We were noticing this, and saying how that the mist rosewith a change of wind from a certain quarter of our marshes, when wecame upon a man, slouching under the lee of the turnpike house. “Halloa!” we said, stopping. “Orlick there?” “Ah!” he answered, slouching out. “I was standing by a minute, on thechance of company.” “You are late,” I remarked. Orlick not unnaturally answered, “Well? And _you_’re late.” “We have been,” said Mr. Wopsle, exalted with his late performance,—“wehave been indulging, Mr. Orlick, in an intellectual evening.” Old Orlick growled, as if he had nothing to say about that, and we allwent on together. I asked him presently whether he had been spendinghis half-holiday up and down town? ",Great Expectations,Charles Dickens
"I had taken care to have it well understood in Little Britain when mybirthday was. On the day before it, I received an official note fromWemmick, informing me that Mr. Jaggers would be glad if I would callupon him at five in the afternoon of the auspicious day. This convincedus that something great was to happen, and threw me into an unusualflutter when I repaired to my guardian’s office, a model ofpunctuality. In the outer office Wemmick offered me his congratulations, andincidentally rubbed the side of his nose with a folded piece oftissue-paper that I liked the look of. But he said nothing respectingit, and motioned me with a nod into my guardian’s room. It wasNovember, and my guardian was standing before his fire leaning his backagainst the chimney-piece, with his hands under his coattails. “Well, Pip,” said he, “I must call you Mr. Pip to-day. Congratulations,Mr. Pip.” We shook hands,—he was always a remarkably short shaker,—and I thankedhim. “Take a chair, Mr. Pip,” said my guardian. ",Great Expectations,Charles Dickens
"The man was in no hurry, and struck again with the flint and steel. Asthe sparks fell thick and bright about him, I could see his hands, andtouches of his face, and could make out that he was seated and bendingover the table; but nothing more. Presently I saw his blue lips again,breathing on the tinder, and then a flare of light flashed up, andshowed me Orlick. Whom I had looked for, I don’t know. I had not looked for him. Seeinghim, I felt that I was in a dangerous strait indeed, and I kept my eyesupon him. He lighted the candle from the flaring match with great deliberation,and dropped the match, and trod it out. Then he put the candle awayfrom him on the table, so that he could see me, and sat with his armsfolded on the table and looked at me. I made out that I was fastened toa stout perpendicular ladder a few inches from the wall,—a fixturethere,—the means of ascent to the loft above. “Now,” said he, when we had surveyed one another for some time, “I’vegot you.” “Unbind me. Let me go!” ",Great Expectations,Charles Dickens
"I played the game to an end with Estella, and she beggared me. Shethrew the cards down on the table when she had won them all, as if shedespised them for having been won of me. “When shall I have you here again?” said Miss Havisham. “Let me think.” I was beginning to remind her that to-day was Wednesday, when shechecked me with her former impatient movement of the fingers of herright hand. “There, there! I know nothing of days of the week; I know nothing ofweeks of the year. Come again after six days. You hear?” “Yes, ma’am.” “Estella, take him down. Let him have something to eat, and let himroam and look about him while he eats. Go, Pip.” I followed the candle down, as I had followed the candle up, and shestood it in the place where we had found it. Until she opened the sideentrance, I had fancied, without thinking about it, that it mustnecessarily be night-time. The rush of the daylight quite confoundedme, and made me feel as if I had been in the candlelight of the strangeroom many hours. ",Great Expectations,Charles Dickens
"“Very tall and dark,” I told him. “Is she, uncle?” asked my sister. Mr. Pumblechook winked assent; from which I at once inferred that hehad never seen Miss Havisham, for she was nothing of the kind. “Good!” said Mr. Pumblechook conceitedly. (“This is the way to havehim! We are beginning to hold our own, I think, Mum?”) “I am sure, uncle,” returned Mrs. Joe, “I wish you had him always; youknow so well how to deal with him.” “Now, boy! What was she a-doing of, when you went in today?” asked Mr.Pumblechook. “She was sitting,” I answered, “in a black velvet coach.” Mr. Pumblechook and Mrs. Joe stared at one another—as they wellmight—and both repeated, “In a black velvet coach?” “Yes,” said I. “And Miss Estella—that’s her niece, I think—handed herin cake and wine at the coach-window, on a gold plate. And we all hadcake and wine on gold plates. And I got up behind the coach to eatmine, because she told me to.” “Was anybody else there?” asked Mr. Pumblechook. “Four dogs,” said I. “Large or small?” ",Great Expectations,Charles Dickens
"“Have you though?” said Joe. “Astonishing!” “It’s a pity now, Joe,” said I, “that you did not get on a little more,when we had our lessons here; isn’t it?” “Well, I don’t know,” returned Joe. “I’m so awful dull. I’m only masterof my own trade. It were always a pity as I was so awful dull; but it’sno more of a pity now, than it was—this day twelvemonth—don’t you see?” What I had meant was, that when I came into my property and was able todo something for Joe, it would have been much more agreeable if he hadbeen better qualified for a rise in station. He was so perfectlyinnocent of my meaning, however, that I thought I would mention it toBiddy in preference. So, when we had walked home and had had tea, I took Biddy into ourlittle garden by the side of the lane, and, after throwing out in ageneral way for the elevation of her spirits, that I should neverforget her, said I had a favour to ask of her. “And it is, Biddy,” said I, “that you will not omit any opportunity ofhelping Joe on, a little.” ",Great Expectations,Charles Dickens
"In what ecstasy of unhappiness I got these broken words out of myself,I don’t know. The rhapsody welled up within me, like blood from aninward wound, and gushed out. I held her hand to my lips some lingeringmoments, and so I left her. But ever afterwards, I remembered,—and soonafterwards with stronger reason,—that while Estella looked at me merelywith incredulous wonder, the spectral figure of Miss Havisham, her handstill covering her heart, seemed all resolved into a ghastly stare ofpity and remorse. All done, all gone! So much was done and gone, that when I went out atthe gate, the light of the day seemed of a darker colour than when Iwent in. For a while, I hid myself among some lanes and by-paths, andthen struck off to walk all the way to London. For, I had by that timecome to myself so far as to consider that I could not go back to theinn and see Drummle there; that I could not bear to sit upon the coachand be spoken to; that I could do nothing half so good for myself astire myself out. ",Great Expectations,Charles Dickens
"It was impossible for me to avoid seeing that she cared to attract me;that she made herself winning, and would have won me even if the taskhad needed pains. Yet this made me none the happier, for even if shehad not taken that tone of our being disposed of by others, I shouldhave felt that she held my heart in her hand because she wilfully choseto do it, and not because it would have wrung any tenderness in her tocrush it and throw it away. When we passed through Hammersmith, I showed her where Mr. MatthewPocket lived, and said it was no great way from Richmond, and that Ihoped I should see her sometimes. “O yes, you are to see me; you are to come when you think proper; youare to be mentioned to the family; indeed you are already mentioned.” I inquired was it a large household she was going to be a member of? “No; there are only two; mother and daughter. The mother is a lady ofsome station, though not averse to increasing her income.” “I wonder Miss Havisham could part with you again so soon.” ",Great Expectations,Charles Dickens
"“May I make so bold,” he said then, with a smile that was like a frown,and with a frown that was like a smile, “as ask you _how_ you have donewell, since you and me was out on them lone shivering marshes?” “How?” “Ah!” He emptied his glass, got up, and stood at the side of the fire, withhis heavy brown hand on the mantel-shelf. He put a foot up to the bars,to dry and warm it, and the wet boot began to steam; but, he neitherlooked at it, nor at the fire, but steadily looked at me. It was onlynow that I began to tremble. When my lips had parted, and had shaped some words that were withoutsound, I forced myself to tell him (though I could not do itdistinctly), that I had been chosen to succeed to some property. “Might a mere warmint ask what property?” said he. I faltered, “I don’t know.” “Might a mere warmint ask whose property?” said he. I faltered again, “I don’t know.” “Could I make a guess, I wonder,” said the Convict, “at your incomesince you come of age! As to the first figure now. Five?” ",Great Expectations,Charles Dickens
"As we were going with our candle along the dark passage, Estellastopped all of a sudden, and, facing round, said in her tauntingmanner, with her face quite close to mine,— “Well?” “Well, miss?” I answered, almost falling over her and checking myself. She stood looking at me, and, of course, I stood looking at her. “Am I pretty?” “Yes; I think you are very pretty.” “Am I insulting?” “Not so much so as you were last time,” said I. “Not so much so?” “No.” She fired when she asked the last question, and she slapped my facewith such force as she had, when I answered it. “Now?” said she. “You little coarse monster, what do you think of menow?” “I shall not tell you.” “Because you are going to tell upstairs. Is that it?” “No,” said I, “that’s not it.” “Why don’t you cry again, you little wretch?” “Because I’ll never cry for you again,” said I. Which was, I suppose,as false a declaration as ever was made; for I was inwardly crying forher then, and I know what I know of the pain she cost me afterwards. ",Great Expectations,Charles Dickens
"“Do you take tea, or coffee, Mr. Gargery?” asked Herbert, who alwayspresided of a morning. “Thankee, Sir,” said Joe, stiff from head to foot, “I’ll take whicheveris most agreeable to yourself.” “What do you say to coffee?” “Thankee, Sir,” returned Joe, evidently dispirited by the proposal,“since you _are_ so kind as make chice of coffee, I will not runcontrairy to your own opinions. But don’t you never find it a little’eating?” “Say tea then,” said Herbert, pouring it out. Here Joe’s hat tumbled off the mantel-piece, and he started out of hischair and picked it up, and fitted it to the same exact spot. As if itwere an absolute point of good breeding that it should tumble off againsoon. “When did you come to town, Mr. Gargery?” “Were it yesterday afternoon?” said Joe, after coughing behind hishand, as if he had had time to catch the whooping-cough since he came.“No it were not. Yes it were. Yes. It were yesterday afternoon” (withan appearance of mingled wisdom, relief, and strict impartiality). ",Great Expectations,Charles Dickens
"It was settled that I should stay there all the rest of the day, andreturn to the hotel at night, and to London to-morrow. When we hadconversed for a while, Miss Havisham sent us two out to walk in theneglected garden: on our coming in by and by, she said, I should wheelher about a little, as in times of yore. So, Estella and I went out into the garden by the gate through which Ihad strayed to my encounter with the pale young gentleman, now Herbert;I, trembling in spirit and worshipping the very hem of her dress; she,quite composed and most decidedly not worshipping the hem of mine. Aswe drew near to the place of encounter, she stopped and said,— “I must have been a singular little creature to hide and see that fightthat day; but I did, and I enjoyed it very much.” “You rewarded me very much.” “Did I?” she replied, in an incidental and forgetful way. “I remember Ientertained a great objection to your adversary, because I took it illthat he should be brought here to pester me with his company.” ",Great Expectations,Charles Dickens
"“I am glad to hear it.” “I hope to hear you say so, my dear boy.” Without stopping to try to understand those words or the tone in whichthey were spoken, I turned off to a point that had just come into mymind. “Have you ever seen a messenger you once sent to me,” I inquired,“since he undertook that trust?” “Never set eyes upon him. I warn’t likely to it.” “He came faithfully, and he brought me the two one-pound notes. I was apoor boy then, as you know, and to a poor boy they were a littlefortune. But, like you, I have done well since, and you must let me paythem back. You can put them to some other poor boy’s use.” I took outmy purse. He watched me as I laid my purse upon the table and opened it, and hewatched me as I separated two one-pound notes from its contents. Theywere clean and new, and I spread them out and handed them over to him.Still watching me, he laid them one upon the other, folded themlong-wise, gave them a twist, set fire to them at the lamp, and droppedthe ashes into the tray. ",Great Expectations,Charles Dickens
"“So it was.” “Astonishing!” said Joe, in the placidest way. “Did you hear that he was dead, Joe?” I presently asked, withincreasing diffidence. “Which? Him as sent the bank-notes, Pip?” “Yes.” “I think,” said Joe, after meditating a long time, and looking ratherevasively at the window-seat, “as I _did_ hear tell that how he weresomething or another in a general way in that direction.” “Did you hear anything of his circumstances, Joe?” “Not partickler, Pip.” “If you would like to hear, Joe—” I was beginning, when Joe got up andcame to my sofa. “Lookee here, old chap,” said Joe, bending over me. “Ever the best offriends; ain’t us, Pip?” I was ashamed to answer him. “Wery good, then,” said Joe, as if I _had_ answered; “that’s all right;that’s agreed upon. Then why go into subjects, old chap, which asbetwixt two sech must be for ever onnecessary? There’s subjects enoughas betwixt two sech, without onnecessary ones. Lord! To think of yourpoor sister and her Rampages! And don’t you remember Tickler?” ",Great Expectations,Charles Dickens
"“I think he’s all right!” said Trabb’s boy, in a sober voice; “butain’t he just pale though!” At these words, the face of him who supported me looked over into mine,and I saw my supporter to be— “Herbert! Great Heaven!” “Softly,” said Herbert. “Gently, Handel. Don’t be too eager.” “And our old comrade, Startop!” I cried, as he too bent over me. “Remember what he is going to assist us in,” said Herbert, “and becalm.” The allusion made me spring up; though I dropped again from the pain inmy arm. “The time has not gone by, Herbert, has it? What night isto-night? How long have I been here?” For, I had a strange and strongmisgiving that I had been lying there a long time—a day and anight,—two days and nights,—more. “The time has not gone by. It is still Monday night.” “Thank God!” “And you have all to-morrow, Tuesday, to rest in,” said Herbert. “Butyou can’t help groaning, my dear Handel. What hurt have you got? Canyou stand?” “Yes, yes,” said I, “I can walk. I have no hurt but in this throbbingarm.” ",Great Expectations,Charles Dickens
"I heard the mice too, rattling behind the panels, as if the sameoccurrence were important to their interests. But the black beetlestook no notice of the agitation, and groped about the hearth in aponderous elderly way, as if they were short-sighted and hard ofhearing, and not on terms with one another. These crawling things had fascinated my attention, and I was watchingthem from a distance, when Miss Havisham laid a hand upon my shoulder.In her other hand she had a crutch-headed stick on which she leaned,and she looked like the Witch of the place. “This,” said she, pointing to the long table with her stick, “is whereI will be laid when I am dead. They shall come and look at me here.” With some vague misgiving that she might get upon the table then andthere and die at once, the complete realisation of the ghastly waxworkat the Fair, I shrank under her touch. “What do you think that is?” she asked me, again pointing with herstick; “that, where those cobwebs are?” “I can’t guess what it is, ma’am.” ",Great Expectations,Charles Dickens
"“Biddy,” said I, when we were walking homeward, “I wish you could putme right.” “I wish I could!” said Biddy. “If I could only get myself to fall in love with you,—you don’t mind myspeaking so openly to such an old acquaintance?” “Oh dear, not at all!” said Biddy. “Don’t mind me.” “If I could only get myself to do it, _that_ would be the thing forme.” “But you never will, you see,” said Biddy. It did not appear quite so unlikely to me that evening, as it wouldhave done if we had discussed it a few hours before. I thereforeobserved I was not quite sure of that. But Biddy said she _was_, andshe said it decisively. In my heart I believed her to be right; and yetI took it rather ill, too, that she should be so positive on the point. When we came near the churchyard, we had to cross an embankment, andget over a stile near a sluice-gate. There started up, from the gate,or from the rushes, or from the ooze (which was quite in his stagnantway), Old Orlick. “Halloa!” he growled, “where are you two going?” ",Great Expectations,Charles Dickens
"I said I had always longed for it. “Never mind what you have always longed for, Mr. Pip,” he retorted;“keep to the record. If you long for it now, that’s enough. Am Ianswered that you are ready to be placed at once under some propertutor? Is that it?” I stammered yes, that was it. “Good. Now, your inclinations are to be consulted. I don’t think thatwise, mind, but it’s my trust. Have you ever heard of any tutor whomyou would prefer to another?” I had never heard of any tutor but Biddy and Mr. Wopsle’s great-aunt;so, I replied in the negative. “There is a certain tutor, of whom I have some knowledge, who I thinkmight suit the purpose,” said Mr. Jaggers. “I don’t recommend him,observe; because I never recommend anybody. The gentleman I speak of isone Mr. Matthew Pocket.” Ah! I caught at the name directly. Miss Havisham’s relation. TheMatthew whom Mr. and Mrs. Camilla had spoken of. The Matthew whoseplace was to be at Miss Havisham’s head, when she lay dead, in herbride’s dress on the bride’s table. ",Great Expectations,Charles Dickens
"So imperfect was this realisation of the first of my greatexpectations, that I looked in dismay at Mr. Wemmick. “Ah!” said he,mistaking me; “the retirement reminds you of the country. So it doesme.” He led me into a corner and conducted me up a flight of stairs,—whichappeared to me to be slowly collapsing into sawdust, so that one ofthose days the upper lodgers would look out at their doors and findthemselves without the means of coming down,—to a set of chambers onthe top floor. MR. POCKET, JUN., was painted on the door, and there wasa label on the letter-box, “Return shortly.” “He hardly thought you’d come so soon,” Mr. Wemmick explained. “Youdon’t want me any more?” “No, thank you,” said I. “As I keep the cash,” Mr. Wemmick observed, “we shall most likely meetpretty often. Good day.” “Good day.” I put out my hand, and Mr. Wemmick at first looked at it as if hethought I wanted something. Then he looked at me, and said, correctinghimself,— “To be sure! Yes. You’re in the habit of shaking hands?” ",Great Expectations,Charles Dickens
"Up to this time I had remained standing, not to disguise that I wishedhim gone. But I was softened by the softened aspect of the man, andfelt a touch of reproach. “I hope,” said I, hurriedly putting somethinginto a glass for myself, and drawing a chair to the table, “that youwill not think I spoke harshly to you just now. I had no intention ofdoing it, and I am sorry for it if I did. I wish you well and happy!” As I put my glass to my lips, he glanced with surprise at the end ofhis neckerchief, dropping from his mouth when he opened it, andstretched out his hand. I gave him mine, and then he drank, and drewhis sleeve across his eyes and forehead. “How are you living?” I asked him. “I’ve been a sheep-farmer, stock-breeder, other trades besides, away inthe new world,” said he; “many a thousand mile of stormy water off fromthis.” “I hope you have done well?” “I’ve done wonderfully well. There’s others went out alonger me as hasdone well too, but no man has done nigh as well as me. I’m famous forit.” ",Great Expectations,Charles Dickens
"It troubled me that there should have been a lurker on the stairs, onthat night of all nights in the year, and I asked the watchman, on thechance of eliciting some hopeful explanation as I handed him a dram atthe door, whether he had admitted at his gate any gentleman who hadperceptibly been dining out? Yes, he said; at different times of thenight, three. One lived in Fountain Court, and the other two lived inthe Lane, and he had seen them all go home. Again, the only other manwho dwelt in the house of which my chambers formed a part had been inthe country for some weeks, and he certainly had not returned in thenight, because we had seen his door with his seal on it as we cameupstairs. “The night being so bad, sir,” said the watchman, as he gave me back myglass, “uncommon few have come in at my gate. Besides them threegentlemen that I have named, I don’t call to mind another since abouteleven o’clock, when a stranger asked for you.” “My uncle,” I muttered. “Yes.” “You saw him, sir?” “Yes. Oh yes.” ",Great Expectations,Charles Dickens
